posixTime,teamID,lat,lon,spdkn,hdgdeg
1405900800,294,44.06496,-87.13881,7.46154612891024,43
1405899900,294,44.03919,-87.163,7.34331780462714,42
1405899000,294,44.01361,-87.18634,7.33875383832288,41
1405898100,294,43.98777,-87.20906,7.34562395808706,42
1405897200,294,43.96196,-87.23191,7.38948540624928,47
1405896300,294,43.93748,-87.25784,7.27080831374113,44
1405895400,294,43.91255,-87.28173,7.10429081824577,39
1405894500,294,43.88691,-87.30225,6.87977550254953,36
1405893600,294,43.86149,-87.32062,6.92780648396755,34
1405892700,294,43.83554,-87.33814,7.00835406535361,40
1405891800,294,43.81055,-87.35907,6.91986917279967,37
1405890907,294,43.78549,-87.37818,6.92089269882773,34
1405890000,294,43.75944,-87.39601,6.93066217342586,30
1405889100,294,43.73298,-87.41201,6.77427947366917,33
1405888200,294,43.70753,-87.42889,6.64455187686269,25
1405887300,294,43.68142,-87.44161,6.74466210442227,25
1405886400,294,43.65491,-87.45449,6.59577436665868,24
1405885500,294,43.6289,-87.46674,6.46357694504178,25
1405884600,294,43.60353,-87.47921,6.35336276858935,27
1405883700,294,43.57893,-87.4927,6.42204703529218,27
1405882800,294,43.55419,-87.50676,6.30968867687924,27
1405881900,294,43.52983,-87.52039,6.28829631568903,28
1405881000,294,43.50586,-87.53497,6.32569510716941,28
1405880106,294,43.48192,-87.54957,5.99641691660257,31
1405879200,294,43.45942,-87.56505,6.06672014866105,31
1405878300,294,43.43692,-87.58091,6.12391096411282,32
1405877400,294,43.41447,-87.5976,6.2434190503017,32
1405876500,294,43.39159,-87.61463,6.06146644923337,29
1405875600,294,43.36896,-87.63005,6.30591014620277,36
1405874700,294,43.34688,-87.64963,4.49079674476412,42
1405873800,294,43.33252,-87.66612,4.22367739410789,39
1405872900,294,43.31843,-87.68061,5.2771743294266,33
1405872000,294,43.29965,-87.69632,5.71466930987539,32
1405871100,294,43.27914,-87.71293,6.27313845938051,31
1405870200,294,43.25658,-87.73105,6.44175061643909,33
1405869300,294,43.23398,-87.75092,5.40458429582548,35
1405868406,294,43.21562,-87.76845,4.13094529479625,33
1405867500,294,43.20113,-87.78148,3.58467002077727,28
1405866600,294,43.1881,-87.79149,4.17188224240929,27
1405865700,294,43.17284,-87.8029,3.93874987431039,26
1405864800,294,43.15827,-87.81325,3.08966598648846,359
1405863900,294,43.1454,-87.81293,3.7792575264935,336
1405863000,294,43.13131,-87.8033,4.09016210604273,342
1405862100,294,43.11532,-87.79523,4.67907758748149,343
1405861200,294,43.09698,-87.78618,4.98783491594254,343
1405860300,294,43.07749,-87.77631,4.20165741162426,343
1405859400,294,43.06105,-87.76808,4.46218060154721,344
1405858500,294,43.04351,-87.75965,3.94084515274862,342
1405857607,294,43.0284,-87.75132,4.32302367206019,342
1405856700,294,43.01164,-87.74179,4.41266914151272,344
1405855800,294,42.9945,-87.7327,4.16700603584472,344
1405854900,294,42.97828,-87.72424,1.87943819750681,0
1405854000,294,42.97045,-87.72429,2.12738280429956,25
